reasult,count
-113.047679,226
-85.052764,223
-128.047345,223
-127.063329,222
-141.042594,222
-100.05243,221
-99.068414,221
-139.063329,220
-101.047679,219
-97.052764,218
-167.058244,218
-155.058244,218
-125.047679,218
-153.042594,217
-86.03678,217
-116.047345,217
-130.02661,216
-111.068414,216
-129.042594,216
-114.031695,216
-112.05243,215
-152.058578,215
-144.04226,215
-102.031695,215
-115.063329,214
-114.06808,214
-126.042928,212
-104.047345,212
-88.05243,212
-87.032029,211
-141.078979,211
-115.026944,211
-130.062995,211
-142.062995,211
-140.058578,211
-127.026944,210
-183.053159,210
-143.058244,210
-140.047345,209
-153.078979,209
-151.063329,209
-132.04226,209
-102.06808,209
-156.04226,209
-142.02661,208
-154.074228,208
-126.06808,208
-169.037509,208
-169.073894,208
-45.032697,11
